store,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstinc,meals,open,hoursopen,pricesoda,pricefry,priceentree,nregisters,nregisters11,time
46,1,0,0,0,0,0,1,0,0,0,30,15,3,.,19,.,2,7,17,1,1,1,3,3,0
49,2,0,0,0,0,0,1,0,0,0,7,7,4,.,26,.,2,10,13,1,1,2,4,3,0
506,2,1,0,0,0,0,1,0,0,0,3,7,2,.,13,0,2,11,10,1,1,2,3,3,0
56,4,1,0,0,0,0,1,0,0,0,20,20,4,5,26,0,2,10,12,1,1,2,2,2,0
61,4,1,0,0,0,0,1,0,0,0,6,26,5,6,52,0,3,10,12,1,1,2,2,2,0
62,4,1,0,0,0,0,1,0,0,2,0,31,5,5,26,0,2,10,12,1,1,1,2,2,0
445,1,0,0,0,0,0,0,1,0,0,50,35,3,5,26,0,2,6,18,1,1,1,3,3,0
451,1,0,0,0,0,0,0,1,0,0,10,17,5,5,52,0,2,0,24,1,1,1,6,4,0
455,2,1,0,0,0,0,0,1,0,0,2,8,5,5,13,0,1,11,10,1,1,2,2,2,0
458,2,1,0,0,0,0,1,0,0,2,2,10,2,5,19,0,1,11,10,1,1,2,4,4,0
462,3,1,0,0,0,0,0,1,0,0,3,20,3,5,13,0,2,9,13,1,1,1,4,4,0
468,1,0,0,0,0,0,0,1,0,0,40,30,3,5,13,0,2,6,18,1,1,1,4,3,0
469,1,0,0,0,0,0,0,1,0,0,8,27,5,5,39,0,2,6,18,1,1,1,3,2,0
470,1,0,0,0,0,0,0,1,0,0,11,30,3,6,.,0,2,6,18,1,1,1,3,3,0
474,1,0,0,0,0,0,0,1,0,2,6,9,3,5,26,0,2,9,13,1,1,1,3,1,0
481,2,1,0,0,0,0,0,1,0,2,5,18,3,5,26,0,3,11,10,1,1,3,5,4,0
483,2,1,0,0,0,0,0,1,0,0,1,15,1,5,13,0,2,11,10,1,1,2,4,3,0
487,3,1,0,0,0,0,0,1,0,0,10,6,2,5,13,0,2,10,12,1,1,1,6,3,0
488,3,0,0,0,0,0,0,1,0,1,20,13,3,5,13,0,2,6,16,1,1,1,5,5,0
489,3,0,0,0,0,0,0,1,0,2,5,23,2,5,13,0,2,7,14,1,1,1,4,4,0
490,3,1,0,0,0,0,0,1,0,0,10,13,4,5,13,0,2,6,16,1,1,1,4,4,0
493,3,1,0,0,0,0,1,0,0,0,27,12,3,5,26,0,2,6,16,1,1,2,6,3,0
