"","Code","Country","Year","Gini","Polity","GDP","Industry","FuelExports","CommunistLegacy","Region","Expropriation","SettlerMortality","vdem_corr","militaryexpenditure","educationexpenditure","electricityaccess","netmigration"
"1","ALB","Albania",1996,29.3,5,2785.5,22.5,NA,1,1,NA,NA,0.73133373260498,1.16760122776031,11.3177003860474,100,-40000
"2","DZA","Algeria",1995,35.4,-3,5003.6,50.4,94.56,1,1,6.5,78.2,0.623231649398804,6.27420997619629,NA,99.3367080688477,-50002
"3","ARG","Argentina",1996,48.2,7,11254,28.44,10.37,0,6,6.39,68.9,0.481817901134491,0.864722847938538,14.0986795425415,99.9952087402344,24002
"4","ARM","Armenia",1995,38.1,3,1851.4,31.99,NA,1,1,NA,NA,0.846659302711487,4.2392258644104,10.6563596725464,100,-24989
"5","AUS","Australia",1995,44.2,10,22535,27.92,18.05,0,7,9.32,8.55,0.0566246435046196,1.95845127105713,13.8829698562622,100,849966
"6","AUT","Austria",1995,27,10,25213,30.37,1.03,0,1,NA,NA,0.0602072700858116,0.707098662853241,10.4133100509644,100,99999
"7","AZE","Azerbaijan",1995,45.9,-6,1814.9,33.6,NA,1,1,NA,NA,0.963003098964691,5.46769189834595,7.63146018981934,100,0
"8","BHS","Bahamas",1993,44.1,NA,14752,NA,0.02,0,7,7.5,85,NA,NA,NA,100,5000
"9","BGD","Bangladesh",1996,38.2,6,1324.4,24.56,0.45,0,2,5.14,71.41,0.837579190731049,1.35096991062164,18.1173992156982,68.2046813964844,-2350001
"10","BLR","Belarus",1995,37.3,0,3476.2,36.97,NA,1,1,NA,NA,0.388248890638351,1.32516705989838,11.0136203765869,100,10000
"11","BEL","Belgium",1995,29.8,10,24077,29.54,2.56,0,1,NA,NA,0.0293486341834068,0.923589944839478,11.9583501815796,100,240000
"12","BOL","Bolivia",1996,57.3,9,2265.8,33.11,14.55,0,6,5.64,71,0.642223298549652,1.74397099018097,16.8421001434326,91.522819519043,-50005
"13","BIH","Bosnia and Herzegovina",1991,32.9,NA,2116.3,25.7,NA,1,1,NA,NA,0.577656269073486,0.971696794033051,NA,100,-2506
"14","BWA","Botswana",1994,53.7,8,5792.7,50.89,NA,0,4,NA,NA,0.162647396326065,2.66286969184875,NA,58.528751373291,15000
"15","BRA","Brazil",1995,60.3,8,6940.2,36.67,0.87,0,6,7.91,71,0.433733463287354,1.36442863941193,15.7192096710205,99.7108993530273,30000
"16","BGR","Bulgaria",1995,39.2,8,6027.1,35.5,NA,1,1,NA,NA,0.474313795566559,1.31645357608795,11.4398002624512,100,-24001
"17","BFA","Burkina Faso",1995,39,-5,931.51,16.81,1.77,0,4,4.45,280,0.37351867556572,1.33034920692444,18.0270805358887,18.4700813293457,-125000
"18","BDI","Burundi",1992,33.3,0,685.17,19.24,NA,0,4,NA,NA,0.906260132789612,2.33428335189819,17.2432594299316,7.25208950042725,20000
"19","KHM","Cambodia",1994,46,1,1436.8,14.82,NA,1,2,NA,NA,0.872068226337433,2.11268949508667,9.09352970123291,47.5657386779785,-149999
"20","CMR","Cameroon",1996,50.8,-4,1666.2,23.89,29.16,0,4,6.45,280,0.941073536872864,1.2451034784317,13.8249502182007,58.8651008605957,-24000
"21","CAN","Canada",1995,28.8,10,23566,31.23,9.19,0,5,9.73,16.1,0.0293677523732185,1.15590953826904,NA,100,1100000
"22","CHL","Chile",1995,54.5,8,7998.7,35.29,0.26,0,6,7.82,68.9,0.118722021579742,1.90945601463318,19.5734596252441,99.71484375,85285
"23","CHN","China",1995,29,-7,2734.1,47.17,3.58,1,2,NA,NA,0.62654721736908,1.93492245674133,NA,100,-1624595
"24","COL","Colombia",1995,56.6,7,6448.8,31.69,27.71,0,6,7.32,71,0.610740602016449,3.1248836517334,15.1072502136231,98.186897277832,-147004
"25","CRI","Costa Rica",1995,45.8,10,7199.6,29.6,0.78,0,5,7.05,78.1,0.182330384850502,0,23.3734302520752,99.4098052978516,16384
"26","CIV","Cote d`Ivoire",1995,36.7,-6,1563.2,20.77,9.84,0,4,7,668,0.536435484886169,1.77600908279419,21.1732196807861,64.0861968994141,30000
"27","HRV","Croatia",1997,24.6,-5,7419.7,34.31,NA,1,1,NA,NA,0.357425093650818,1.54030346870422,9.49458980560303,100,-40000
"28","CZE","Czech Republic",1996,25.7,10,13901,41.3,4.23,1,1,NA,NA,0.244915336370468,0.952677726745605,9.45779991149902,100,59997
