"","COUNTRY","YEAR","ACCHEAD_","AGDEMONS","AGEA","AGEH","AGEI","AGER","AGETOGO","ASPELL","AUT","BIRTHS","BRITCOL_","CATH____","CIVLIB","CIVMIL","COMEX","CTRCEPT","CPI","DEATH","DEMADIC","DEMBDIC","DICADEM","DICBDEM","DIVIDED","EDT","EDTG","EFFPARTY","ELF60","ETHNIC","EXSELEC","FEMSEC","FERTIL","FLAGC","FLAGE___","FLAGR","G","GDPW","GINI","GLAG","GXPDEDUC","GXPDHLTH","GXPDSSEC","GXPKTOTL","HEADS","INCUMB","INEQ","INFMORT","INST","INST2","INV","KS","KSG","LAGREG","LAWS","LEGELEC","LEGSELEC","LEVEL","LEVLAG__","LF","LFAGRIC","LFG","LFGLAG","LFPW","LIVES","LS","MOBILIZE","MOSLEM__","NEWC____","ODRP","ODWP","OIL","OPENC","PARTY","PINV","POLLIB","POP","POPG","PPPQUAL","PRESELEC","PRIME","PROT____","RECVRYW","REG","REGION","REGION2_","RELIGION","RIOTS","RSPELL","SEATS","STRA","STRD","STRIKES","TINC","TTR","TTRLAG","TTRLEAD","TURNOVER","TYPEII","UNSTABLE","WAR","WORLD","XR","FILTER_.","FH","REGCHANG","LIBL1","REG_1","FH_2","FH_3","FH_4","FH_5","LNGDPW","FHHAT","ghat"
"1",1,1962,0,NA,1,1,1,1,NA,1,1,50.3999900817871,0,0.5,NA,1,0,NA,NA,19.3999900817871,0,0,0,1,1,1.16,NA,1,0.43,83,2,NA,7.38000011444092,1,0,1,-19.9749530369443,5011.99999999999,NA,-6.60818713450292,NA,NA,NA,NA,0,0,NA,160,0,0,15,4717380,-34.217686739032,1,1,1,2,1278,1597,2865.04549082203,NA,0.335330934105007,0.764020992263161,4.19181299209595,48.324390411377,NA,1,99.099998474121,1,0.0833333333333333,0.388888888888889,1,72.5,1,100.26,NA,11236,1.99709513435004,1,0,4.5,0,0,1,2,6,99.1,NA,1,100,0,0,NA,0,0,0,0,0,0,0,1,3.15,4.937,"Not Selected",NA,NA,NA,NA,NA,NA,NA,NA,8.51959031601596,7.24260089238603,NA
"2",1,1963,1,NA,2,1,2,2,NA,1,1,NA,0,0.5,NA,1,0,NA,NA,NA,0,0,0,1,1,1.25,7.75862068965517,1,0.43,83,1,NA,NA,0,0,0,18.075117370892,6083,NA,-19.9749530369443,NA,NA,NA,NA,1,0,NA,NA,0,0,13.9,6955591,47.4460611610682,1,1,1,2,1509,1278,2842.86371855992,NA,-0.774220595559959,0.335330934105007,4.35351610183716,NA,NA,1,99.099998474121,1,0.0833333333333333,0.36697247706422,1,48.45,1,100.14,NA,11460,1.9935920256319,1,1,4.5,0,0,1,2,6,99.1,NA,1,100,0,0,NA,0,0,0,0,0.5,0,0,1,3.49,4.937,"Not Selected",NA,0,NA,1,NA,NA,NA,NA,8.7132532743207,7.75270912456073,NA
"3",1,1964,1,NA,3,2,3,3,NA,1,1,NA,0,0.5,NA,1,0,NA,NA,NA,0,0,0,1,1,1.345,7.6,1,0.43,83,1,NA,NA,0,0,0,4.37375745526839,6502,NA,18.075117370892,NA,NA,NA,NA,0,0,NA,NA,0,0,10.6,7939430,14.1445780811436,1,1,0,2,1575,1509,2831.70562903722,NA,-0.392494703487018,-0.774220595559959,4.51409387588501,NA,NA,1,99.099998474121,1,0.0833333333333333,0.357142857142857,1,43.57,1,99.69,NA,11690,2.00698080279232,1,0,4.5,0,1,1,2,6,99.1,NA,1,100,0,0,NA,0,0,0,0,0.333332985639572,0,0,0,5.39,4.937,"Not Selected",NA,0,NA,1,NA,NA,NA,NA,8.77986510086385,7.92816467567538,NA
"4",1,1965,2,NA,1,1,4,4,NA,2,2,NA,0,0.5,NA,3,0,NA,NA,NA,0,0,0,1,2,1.45,7.80669144981413,1,0.43,83,3,5,NA,0,0,0,-0.317460317460317,6620,NA,4.37375745526839,NA,NA,NA,NA,1,0,NA,NA,0,0,11,8225115,3.59830617563226,1,2,0,0,1570,1575,2827.66012084592,57.0024909973145,-0.142864715520354,-0.392494703487018,4.67356109619141,NA,NA,2,99.099998474121,1,0.0833333333333333,0.347826086956522,1,38.89,1,104.33,NA,11923,1.99315654405475,1,0,4.535,0,1,1,2,6,99.1,NA,1,0,0,0,NA,0,0,0,0,0.5,0,0,0,3.79,4.937,"Not Selected",NA,0,NA,1,NA,NA,NA,NA,8.79785064893105,7.9755386092844,NA
"5",1,1966,2,NA,2,2,5,5,NA,2,2,NA,0,0.5,NA,3,0,NA,NA,NA,0,0,0,1,2,1.56,7.58620689655172,1,0.43,83,3,NA,NA,0,0,0,-2.1656050955414,6611.99999999999,NA,-0.317460317460317,NA,NA,NA,NA,0,0,NA,NA,0,0,8.3,8268686,0.529731195247726,1,2,0,0,1536,1570,2849.68421052632,55.0484085083008,0.77888037243336,-0.142864715520354,4.95085716247559,NA,NA,2,99.099998474121,1,0.0833333333333333,0.34453781512605,1,41,1,101.46,NA,12267,2.88517990438648,1,0,5.625,0,1,1,2,6,99.1,NA,1,0,0,0,NA,0,0,0,0,0.400000005960464,0,0,0,3.91,4.938,"Not Selected",NA,0,NA,1,NA,NA,NA,NA,8.79664145894091,7.97235360285037,NA
"6",1,1967,2,0,3,3,6,6,NA,2,2,49.7999992370605,0,0.5,NA,3,0,NA,NA,17.3999900817871,0,0,0,1,2,1.675,7.37179487179487,1,0.43,83,3,NA,7.48000001907349,0,0,0,3.58072916666667,6981.99999999999,NA,-2.1656050955414,NA,NA,NA,NA,0,0,NA,150,0,0,11.3,9328688,12.8194733721900,1,2,0,0,1591,1536,2876.19621884847,53.1047096252441,0.930348991801275,0.77888037243336,5.2266788482666,51.424388885498,NA,2,99.099998474121,1,0.0769230769230769,0.325,1,37.55,1,101.55,NA,12622,2.8939430993723,1,0,5.6333333,0,1,1,2,6,99.1,0,1,0,0,0,0,0,0,0,0,0.333332985639572,0,0,0,2.59,4.937,"Not Selected",NA,0,NA,1,NA,NA,NA,NA,8.85109068766498,8.11577287130956,NA
"7",1,1968,2,0,4,4,7,7,NA,2,2,NA,0,0.5,NA,3,0,NA,NA,NA,0,0,0,1,2,1.805,7.76119402985075,1,0.43,83,3,NA,NA,0,0,0,10.0565681961031,7847.99999999999,NA,3.58072916666667,NA,NA,NA,NA,0,0,NA,NA,0,0,15.1,11935830,27.947574192641,1,2,0,0,1751,1591,2897.36060142712,51.1713104248047,0.735846269456581,0.930348991801275,5.50103807449341,NA,NA,2,99.099998474121,1,0.0769230769230769,0.311475409836066,1,38.54,1,94.19,NA,12986,2.88385358897164,1,0,6.3125,0,1,1,2,6,99.1,0,1,0,0,0,0,0,0,0,0,0.285714000463486,0,0,0,4.62,4.937,"Not Selected",NA,0,NA,1,NA,NA,NA,NA,8.9680140012452,8.42374887927985,NA
"8",1,1969,2,0,5,5,8,8,NA,2,2,NA,0,0.5,NA,3,0,NA,NA,NA,0,0,0,1,2,1.95,8.03324099722992,1,0.43,83,3,NA,NA,0,0,0,4.56881781838949,8377.99999999999,NA,10.0565681961031,NA,NA,NA,NA,0,0,NA,NA,0,0,18.2,13748250,15.1847001842352,1,2,0,0,1831,1751,2919.80902363333,49.2481307983398,0.774788688544776,0.735846269456581,5.77394819259644,NA,NA,2,99.099998474121,1,0.0769230769230769,0.295081967213115,1,39.96,1,88.04,NA,13360,2.88002464192207,1,0,7.9516667,0,0,1,2,6,99.1,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,4.66,4.938,"Not Selected",NA,0,NA,1,NA,NA,NA,NA,9.03336450150698,8.59588209696938,NA
"9",1,1970,2,0,6,6,9,9,NA,2,2,48.7200012207031,0,0.5,NA,3,0,NA,6.6,16.2000007629395,0,0,0,1,2,2.1,7.69230769230769,1,0.43,83,3,6,7.42000007629395,0,0,0,-0.382304751501912,8535.99999999999,NA,4.56881781838949,NA,NA,NA,NA,0,0,NA,139.199996948242,0,0,19.8,14369240,4.51686578291783,1,2,0,0,1824,1831,2937.28959700094,47.335090637207,0.598688928834788,0.774788688544776,6.04541921615601,53.2551307678223,NA,2,99.099998474121,1,0.0769230769230769,0.306451612903226,1,51.15,1,97.54,NA,13746,2.88922155688623,1,0,7.91,0,0,1,2,6,99.1,0,1,0,0,0,0,0,0,0,0,0.222222000360489,0,0,0,4.77,4.937,"Not Selected",NA,0,NA,1,NA,NA,NA,NA,9.05204779298159,8.6450938867135,NA
"10",1,1971,2,0,7,7,10,10,NA,2,2,NA,0,0.5,NA,3,0,NA,2.6266417,NA,0,0,0,1,2,2.225,5.95238095238095,1,0.43,83,3,NA,NA,0,0,0,-8.27850877192983,7816,NA,-0.382304751501912,NA,NA,NA,NA,0,0,NA,NA,0,0,20.6,12390010,-13.7740757339985,1,2,0,0,1673,1824,3032.84762026612,45.490291595459,3.25327211054542,0.598688928834788,6.27963399887085,NA,NA,2,99.099998474121,1,0.0625,0.302325581395349,1,45.82,1,97.09,NA,14169,3.07725883893496,1,0,5.7233333,0,0,1,2,6,99.1,0,1,0,0,0,0,0,0,0,0,0.200000002980232,0,0,0,2.9,4.913,"Not Selected",NA,0,NA,1,NA,NA,NA,NA,8.96392819372262,8.41298686226538,NA
