"","year","Country","WBCode","wbcode2","gdp1","gdp2","lngdp1","lngdp2","gdpmad","lngdpmad","gdpmadlag","lngdpmadlag","gdpmadlag2","lngdpmadlag2","gdpmadlag3","lngdpmadlag3","gdpmadlag4","lngdpmadlag4","pop","lnpop","IMR_5yr","rgdpl","rgdpl2","rgdpch","kc","kg","ki","openk","gdppwt","gdppwtlag","lngdppwtlag","gdppwtlag2","lngdppwtlag2","gdppwtlag3","lngdppwtlag3","gdppwtlag4","lngdppwtlag4","lngdpavglag","lngdpavglag2","lngdpavglag3","lngdpavglag4","lngdppwt","lngdpavg","cont_dem_ind","civwar","civwarend","pwt_pop","pwt_rgdppc1","pwt_rgdppc2","pwt_rgdppc3","pwt_xrate","pwt_rgdincome","pwt_open","pwt_investment","pwt_pop_lag1","pwt_rgdppc1_lag1","pwt_rgdppc2_lag1","pwt_rgdppc3_lag1","pwt_xrate_lag1","pwt_rgdincome_lag1","pwt_open_lag1","pwt_investment_lag1","pwt_pop_lag2","pwt_rgdppc1_lag2","pwt_rgdppc2_lag2","pwt_rgdppc3_lag2","pwt_xrate_lag2","pwt_rgdincome_lag2","pwt_open_lag2","pwt_investment_lag2","pwt_pop_lag3","pwt_rgdppc1_lag3","pwt_rgdppc2_lag3","pwt_rgdppc3_lag3","pwt_xrate_lag3","pwt_rgdincome_lag3","pwt_open_lag3","pwt_investment_lag3","civwar_lag","civwarend_lag","exports","imports","exports_lag1","imports_lag1","exports_lag2","imports_lag2","imfadj","imfpov","wbank","imfadj_lag1","wbank_lag1","imfadj_lag2","wbank_lag2","imfpov_lag1","imfpov_lag2","dem","dem_ind","eximdiff","eximdiff_lag1","eximdiff_lag2","pwt_xrate_lag4","pwt_xrate_lag5"
"1",1965,"Angola","AGO",2,NA,NA,NA,NA,1596,7.37525577800975,NA,NA,NA,NA,NA,NA,NA,NA,5135,8.54383512236266,NA,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,8.54380006838898,NA,NA,NA,-13.8155105579643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"2",1966,"Angola","AGO",2,NA,NA,NA,NA,1660,7.41457288135059,1596,7.37525577800975,NA,NA,NA,NA,NA,NA,5201,8.55660619377307,NA,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,8.55665426048941,NA,NA,NA,-13.8155105579643,NA,NA,NA,8.54380006838898,NA,NA,NA,-13.8155105579643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"3",1967,"Angola","AGO",2,NA,NA,NA,NA,1727,7.45414107814668,1660,7.41457288135059,1596,7.37525577800975,NA,NA,NA,NA,5247,8.56541176368671,NA,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,8.56550133486092,NA,NA,NA,-13.8155105579643,NA,NA,NA,8.55665426048941,NA,NA,NA,-13.8155105579643,NA,NA,NA,8.54380006838898,NA,NA,NA,-13.8155105579643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"4",1968,"Angola","AGO",2,NA,NA,NA,NA,1672,7.42177579364465,1727,7.45414107814668,1660,7.41457288135059,1596,7.37525577800975,NA,NA,5350,8.58485183989005,NA,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,8.58492286559197,NA,NA,NA,-13.8155105579643,NA,NA,NA,8.56550133486092,NA,NA,NA,-13.8155105579643,NA,NA,NA,8.55665426048941,NA,NA,NA,-13.8155105579643,NA,NA,NA,8.54380006838898,NA,NA,NA,-13.8155105579643,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"5",1969,"Angola","AGO",2,NA,NA,NA,NA,1691,7.43307534889858,1672,7.42177579364465,1727,7.45414107814668,1660,7.41457288135059,1596,7.37525577800975,5472,8.60739945930239,NA,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,8.60733366784724,NA,NA,NA,-13.8155105579643,NA,NA,NA,8.58492286559197,NA,NA,NA,-13.8155105579643,NA,NA,NA,8.56550133486092,NA,NA,NA,-13.8155105579643,NA,NA,NA,8.55665426048941,NA,NA,NA,-13.8155105579643,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,-13.8155105579643,NA
"6",1970,"Angola","AGO",2,NA,NA,NA,NA,1768,7.47760424319759,1691,7.43307534889858,1672,7.42177579364465,1727,7.45414107814668,1660,7.41457288135059,5606,8.63159273172473,NA,"2366.505659",2345.814056,2313.204919,29.38895959,36.21715232,23.27371163,88.73029714,2366.505659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.76916974063861,7.6233869919181,1,1,0,8.63152672901146,8.00900741385481,7.97945190291782,8.01024670107409,-13.8155105579643,8.16219683814129,4.30000281276381,3.03591411121756,8.60733366784724,NA,NA,NA,-13.8155105579643,NA,NA,NA,8.58492286559197,NA,NA,NA,-13.8155105579643,NA,NA,NA,8.56550133486092,NA,NA,NA,-13.8155105579643,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,-13.8155105579643,-13.8155105579643
"7",1971,"Angola","AGO",2,NA,NA,NA,NA,1728,7.454719949364,1768,7.47760424319759,1691,7.43307534889858,1672,7.42177579364465,1727,7.45414107814668,5753,8.65747673686329,NA,"2445.13346",2423.601931,2390.077864,29.41489586,36.12790517,23.24672313,88.80481145,2445.13346,2366.505659,7.76916974063861,NA,NA,NA,NA,NA,NA,7.6233869919181,NA,NA,NA,7.80185498528635,7.62828746732517,1,1,0,8.6574697841188,8.04244874254272,8.01426959787681,8.04357022056855,-13.8155105579643,8.19286096603248,4.29687717324318,3.04118358423622,8.63152672901146,8.00900741385481,7.97945190291782,8.01024670107409,-13.8155105579643,8.16219683814129,4.30000281276381,3.03591411121756,8.60733366784724,NA,NA,NA,-13.8155105579643,NA,NA,NA,8.58492286559197,NA,NA,NA,-13.8155105579643,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,NA,0,0,NA,NA,NA,-13.8155105579643,-13.8155105579643
"8",1972,"Angola","AGO",2,NA,NA,NA,NA,1712,7.44541755670169,1728,7.454719949364,1768,7.47760424319759,1691,7.43307534889858,1672,7.42177579364465,5895,8.68185981297147,NA,"2390.349285",2368.904284,2336.47579,29.3834744,36.18332404,23.32727449,88.92048721,2390.349285,2445.13346,7.80185498528635,2366.505659,7.76916974063861,NA,NA,NA,NA,7.62828746732517,7.6233869919181,NA,NA,7.77919477859898,7.61230616765033,1,1,0,8.68189543591627,8.0168491108505,7.98666473571434,8.01811166860344,-13.8155105579643,8.17186788201677,4.30595521121058,3.04213869410084,8.6574697841188,8.04244874254272,8.01426959787681,8.04357022056855,-13.8155105579643,8.19286096603248,4.29687717324318,3.04118358423622,8.63152672901146,8.00900741385481,7.97945190291782,8.01024670107409,-13.8155105579643,8.16219683814129,4.30000281276381,3.03591411121756,8.60733366784724,NA,NA,NA,-13.8155105579643,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,-13.8155105579643,-13.8155105579643
"9",1973,"Angola","AGO",2,NA,NA,NA,NA,1789,7.48941208350872,1712,7.44541755670169,1728,7.454719949364,1768,7.47760424319759,1691,7.43307534889858,6026,8.70383871969025,NA,"2527.378411",2505.001012,2470.364129,29.37467199,36.31243002,23.35885463,89.00575519,2527.378411,2390.349285,7.77919477859898,2445.13346,7.80185498528635,2366.505659,7.76916974063861,NA,NA,7.61230616765033,7.62828746732517,7.6233869919181,NA,7.8349378433082,7.66217496340846,1,1,0,8.70389845919356,8.07158086139007,8.04268021063001,8.07275437995736,-13.8155105579643,8.22764537982178,4.30217142296355,3.04070568699787,8.68189543591627,8.0168491108505,7.98666473571434,8.01811166860344,-13.8155105579643,8.17186788201677,4.30595521121058,3.04213869410084,8.6574697841188,8.04244874254272,8.01426959787681,8.04357022056855,-13.8155105579643,8.19286096603248,4.29687717324318,3.04118358423622,8.63152672901146,8.00900741385481,7.97945190291782,8.01024670107409,-13.8155105579643,8.16219683814129,4.30000281276381,3.03591411121756,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,-13.8155105579643,-13.8155105579643
"10",1974,"Angola","AGO",2,NA,NA,NA,NA,1711,7.44483327389219,1789,7.48941208350872,1712,7.44541755670169,1728,7.454719949364,1768,7.47760424319759,5987,8.69734573092535,NA,"2623.65487",2601.916387,2564.549341,29.12961996,36.63673135,23.34315599,89.0683738,2623.65487,2527.378411,7.8349378433082,2390.349285,7.77919477859898,2445.13346,7.80185498528635,2366.505659,7.76916974063861,7.66217496340846,7.61230616765033,7.62828746732517,7.6233869919181,7.87232361321217,7.65857844355218,1,1,1,8.69742757173865,8.1130671866089,8.0842140194724,8.11446234211317,-13.8155105579643,8.27342337396348,4.29918836994445,3.03447214996997,8.70389845919356,8.07158086139007,8.04268021063001,8.07275437995736,-13.8155105579643,8.22764537982178,4.30217142296355,3.04070568699787,8.68189543591627,8.0168491108505,7.98666473571434,8.01811166860344,-13.8155105579643,8.17186788201677,4.30595521121058,3.04213869410084,8.6574697841188,8.04244874254272,8.01426959787681,8.04357022056855,-13.8155105579643,8.19286096603248,4.29687717324318,3.04118358423622,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,-13.8155105579643,-13.8155105579643
