day, rank, month
 1, 133,  1
 2, 195,  1
 3, 336,  1
 4,  99,  1
 5,  33,  1
 6, 285,  1
 7, 159,  1
 8, 116,  1
 9,  53,  1
 10, 101,  1
 11, 144,  1
 12, 152,  1
 13, 330,  1
 14,  71,  1
 15,  75,  1
 16, 136,  1
 17,  54,  1
 18, 185,  1
 19, 188,  1
 20, 211,  1
 21, 129,  1
 22, 132,  1
 23,  48,  1
 24, 177,  1
 25,  57,  1
 26, 140,  1
 27, 173,  1
 28, 346,  1
 29, 277,  1
 30, 112,  1
 31,  60,  1
 32, 335,  2
 33, 354,  2
 34, 186,  2
 35,  94,  2
 36,  97,  2
 37,  16,  2
 38,  25,  2
 39, 127,  2
 40, 187,  2
 41,  46,  2
 42, 227,  2
 43, 262,  2
 44,  13,  2
 45, 260,  2
 46, 201,  2
 47, 334,  2
 48, 345,  2
 49, 337,  2
 50, 331,  2
 51,  20,  2
 52, 213,  2
 53, 271,  2
 54, 351,  2
 55, 226,  2
 56, 325,  2
 57,  86,  2
 58,  66,  2
 59, 234,  2
 60,  14,  3
 61,  77,  3
 62, 207,  3
 63, 117,  3
 64, 299,  3
 65, 296,  3
 66, 141,  3
 67,  79,  3
 68, 278,  3
 69, 150,  3
 70, 317,  3
 71,  24,  3
 72, 241,  3
 73,  12,  3
 74, 157,  3
 75, 258,  3
 76, 220,  3
 77, 319,  3
 78, 189,  3
 79, 170,  3
 80, 246,  3
 81, 269,  3
 82, 281,  3
 83, 203,  3
 84, 298,  3
 85, 121,  3
 86, 254,  3
 87,  95,  3
 88, 147,  3
 89,  56,  3
 90,  38,  3
 91, 224,  4
 92, 216,  4
 93, 297,  4
 94,  37,  4
 95, 124,  4
 96, 312,  4
 97, 142,  4
 98, 267,  4
 99, 223,  4
100, 165,  4
101, 178,  4
102,  89,  4
103, 143,  4
104, 202,  4
105, 182,  4
106,  31,  4
107, 264,  4
108, 138,  4
109,  62,  4
110, 118,  4
111,  8,  4
112, 256,  4
113, 292,  4
114, 244,  4
115, 328,  4
116, 137,  4
117, 235,  4
118,  82,  4
119, 111,  4
120, 358,  4
121, 179,  5
122,  96,  5
123, 171,  5
124, 240,  5
125, 301,  5
126, 268,  5
127,  29,  5
128, 105,  5
129, 357,  5
130, 146,  5
131, 293,  5
132, 210,  5
133, 353,  5
134,  40,  5
135, 344,  5
136, 175,  5
137, 212,  5
138, 180,  5
139, 155,  5
140, 242,  5
141, 225,  5
142, 199,  5
143, 222,  5
144,  22,  5
145,  26,  5
146, 148,  5
147, 122,  5
148,  9,  5
149,  61,  5
150, 209,  5
151, 350,  5
152,  65,  6
153, 304,  6
154, 135,  6
155,  42,  6
156, 233,  6
157, 153,  6
158, 169,  6
159,  7,  6
160, 352,  6
161,  76,  6
162, 355,  6
163,  51,  6
164, 342,  6
165, 363,  6
166, 276,  6
167, 229,  6
168, 289,  6
169, 214,  6
170, 163,  6
171,  43,  6
172, 113,  6
173, 307,  6
174,  44,  6
175, 236,  6
176, 327,  6
177, 308,  6
178,  55,  6
179, 215,  6
180, 154,  6
181, 217,  6
182, 104,  7
183, 322,  7
184,  30,  7
185,  59,  7
