"","treat","polint","educ","income","sex","repstrg","strgth","demstrg","mfvcanth","lfvcanth","own","others"
"1","hostile",-1.19996199483168,3,1,1,0,1,1,80,50,8.83333333333333,6.5
"2","civil",-0.773218271866491,4,1,0,0,0,0,80,60,7.33333333333333,4.66666666666667
"3","hostile",-1.21018031801565,2,0,1,0,0,0,91,80,7.16666666666667,6.16666666666667
"4","civil",0.359388759049872,5,1,0,0,1,1,65,63,7.5,7.16666666666667
"5","hostile",0.786132482015061,6,1,1,0,2,2,NA,NA,8,2.33333333333333
"6","civil",0.0926414749456252,3,5,1,2,2,0,100,0,NA,NA
"7","hostile",-0.473662040512556,2,8,0,0,0,0,NA,NA,4.83333333333333,5.16666666666667
"8","civil",-0.922996387543458,1,0,1,0,0,0,100,50,7.16666666666667,8.83333333333333
"9","hostile",-0.356692872085276,4,1,0,0,1,1,80,15,8.66666666666667,5
"10","civil",0.935910597692029,6,5,0,1,1,0,NA,NA,7.33333333333333,6
"11","hostile",-1.34974011050865,4,1,1,1,1,0,80,20,10.3333333333333,9
"12","civil",-1.34974011050865,5,2,1,0,2,2,90,50,9,4.33333333333333
"13","hostile",0.0926414749456252,5,2,1,0,2,2,80,0,8.16666666666667,6.16666666666667
"14","civil",0.509166874726839,5,2,1,1,1,0,60,20,6.66666666666667,6.33333333333333
"15","hostile",0.359388759049872,3,2,1,0,1,1,100,0,8.33333333333333,8.33333333333333
"16","civil",-1.14807705264426,4,2,0,0,1,1,50,0,7.83333333333333,6.5
"17","hostile",0.519385197910815,6,0,1,0,2,2,NA,NA,2,2
"18","civil",-1.19996199483168,2,0,1,0,1,1,90,60,8.16666666666667,8.16666666666667
"19","hostile",-0.773218271866491,1,4,1,0,1,1,51,49,8.41666666666667,6.91666666666667
"20","civil",0.0926414749456252,2,7,0,0,2,2,51,50,7.66666666666667,6
"21","hostile",0.541975821976527,2,5,1,0,0,0,75,30,8,5.66666666666667
"22","civil",0.541975821976527,2,5,1,1,1,0,NA,NA,9.83333333333333,9.16666666666667
"23","hostile",-1.4769276021199,2,5,1,1,1,0,80,65,6.66666666666667,5
"24","civil",0.541975821976527,4,7,1,0,1,1,70,40,7.33333333333333,6.33333333333333
"25","hostile",-0.633658479373498,2,7,0,0,1,1,35,30,8.66666666666667,4.33333333333333
"26","civil",-1.05018387915471,6,4,1,0,2,2,75,70,6.83333333333333,6.5
"27","hostile",-0.600849532123811,2,7,1,0,1,1,60,30,7.16666666666667,5.5
"28","civil",-0.900405763477745,1,2,1,0,0,0,60,30,7.83333333333333,6.5
"29","hostile",1.38524494472293,2,4,0,2,2,0,55,45,7.33333333333333,6.33333333333333
"30","civil",0.0926414749456252,4,6,1,2,2,0,60,25,8.33333333333333,7
"31","hostile",-0.633658479373498,2,8,0,0,1,1,75,65,7.66666666666667,5.66666666666667
"32","civil",0.669163313587782,4,0,1,0,0,0,NA,NA,7,6
"33","hostile",-0.057136640731342,4,3,0,0,1,1,NA,NA,7.66666666666667,6.33333333333333
"34","civil",1.23546682904596,2,7,1,0,0,0,60,40,8.33333333333333,8.33333333333333
"35","hostile",-1.05018387915471,4,4,1,1,1,0,50,40,8,7.66666666666667
"36","civil",0.818941429264749,4,8,1,1,1,0,80,70,8.33333333333333,8
"37","hostile",-0.623440156189523,2,6,1,1,1,0,60,40,7.5,4.83333333333333
"38","civil",-0.057136640731342,2,5,0,2,2,0,75,60,7,8
"39","hostile",0.242419590622592,2,6,1,0,1,1,90,3.8,8.5,7.83333333333333
"40","civil",0.125450422195313,4,1,1,0,0,0,80,30,7.5,6.16666666666667
"41","hostile",0.541975821976527,2,5,1,1,1,0,50,25,7.83333333333333,7.16666666666667
"42","civil",0.658944990403807,2,6,1,2,2,0,60,25,8,9.33333333333333
"43","hostile",1.23546682904596,4,5,1,0,0,0,70,10,8.16666666666667,4.83333333333333
"44","civil",1.38524494472293,4,8,1,0,2,2,90,60,8.83333333333333,6.5
"45","hostile",1.38524494472293,2,6,0,2,2,0,60,2,6.5,5.83333333333333
"46","civil",-0.206914756408309,2,6,0,0,0,0,NA,NA,9.66666666666667,7.66666666666667
"47","hostile",-0.057136640731342,4,6,1,0,2,2,60,0,7.5,6.16666666666667
"48","civil",-0.0243276934816545,2,7,1,0,1,1,8,5,6.66666666666667,7.33333333333333
"49","hostile",-1.61648739461289,4,8,1,1,1,0,80,20,5.83333333333333,3.33333333333333
"50","civil",0.958501221757741,2,8,0,1,1,0,85,35,9.33333333333333,3
"51","hostile",-0.633658479373498,2,4,0,0,0,0,65,45,6.66666666666667,6.33333333333333
"52","civil",0.519385197910815,3,8,1,0,2,2,70,40,6.33333333333333,5.33333333333333
"53","hostile",1.38524494472293,2,7,0,0,0,0,90,10,8.33333333333333,6
"54","civil",0.541975821976527,2,1,1,2,2,0,75,50,9.16666666666667,8.5
"55","hostile",-0.600849532123811,2,7,0,0,2,2,80,65,6.83333333333333,5.5
"56","civil",0.541975821976527,2,5,1,0,2,2,75,50,10.8333333333333,9.83333333333333
"57","hostile",1.38524494472293,2,7,1,0,1,1,90,10,6.66666666666667,3.66666666666667
"58","civil",-0.057136640731342,2,7,0,0,0,0,90,10,7.33333333333333,3.33333333333333
"59","hostile",-0.89018744029377,2,4,0,0,2,2,100,50,9.33333333333333,6.33333333333333
"60","civil",-0.750627647800778,2,8,0,1,1,0,65,55,8,6
"61","hostile",-1.05018387915471,5,2,0,0,1,1,70,40,6,5
"62","civil",0.242419590622592,2,2,0,0,1,1,80,70,8,4
"63","hostile",0.808723106080774,2,7,1,0,2,2,95,25,9,6.66666666666667
"64","civil",-0.206914756408309,4,0,0,0,0,0,75,25,9.33333333333333,5.33333333333333
"65","civil",0.958501221757741,2,5,1,0,1,1,60,45,6,6
"66","civil",0.0926414749456252,4,1,1,0,0,0,80,60,7.66666666666667,5
"67","civil",0.968719544941716,4,8,1,0,0,0,70,40,7.33333333333333,3.66666666666667
