"","index","Cuzco","angertreat","anxietytreat","calmtreat","outvote1","outvote2","age","triste","feliz","enojado","asqueado","preocupado","con.miedo","con.placer","orgulloso","desesperado","risk","socioeconentusiasmo","socioeconenojo","socioeconpreocupacion","socioecontranquilidad","socioeconmiedo","socioeconns","corruptentusiasmo","corruptenojo","corruptpreocupacion","corrupttranquilidad","corruptmiedo","corruptns","pocketeconentusiasmo","pocketeconenojo","pocketeconpreocupacion","pocketecontranquilidad","pocketeconmiedo","pocketeconns","crimeentusiasmo","crimeenojo","crimepreocupacion","crimetranquilidad","crimemiedo","crimens","repentusiasmo","repenojo","reppreocupacion","reptranquilidad","repmiedo","repns","corruptfreq","corruptresp","crimefreq","crimeresp","unempfreq","unempresp","povertyfreq","povertyresp","edqual","edresp","govtcapac","govtcapacresp","participrepresent","leftright","diazleftright","hurtadoleftright","partyid","intefficacy","extefficacy","tvnews","newspaper","radionews","edlevel","classid","treatment","outsidervote","simpletreat"
"1",6,0,1,NA,NA,1,NA,36,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,4,3,3,2,3,1,4,1,2,2,1,6,4,3,9,1,3,1,2,1,8,2,"anger",0,1
"2",90,0,1,NA,NA,1,NA,36,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,4,3,3,2,3,1,4,1,2,2,1,6,4,3,9,1,3,1,2,1,8,2,"anger",0,1
"3",115,1,1,NA,NA,1,NA,42,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,4,3,3,3,4,3,4,3,3,2,1,6,6,6,5,3,2,1,2,2,8,2,"anger",0,1
"4",331,1,1,NA,NA,1,NA,42,0,1,0,0,0,0,0,0,0,55,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,4,3,3,3,4,3,4,3,3,2,1,6,6,6,5,3,2,1,2,2,8,2,"anger",0,1
"5",419,0,1,NA,NA,1,NA,31,0,0,1,0,0,0,0,0,0,55,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2,3,2,3,3,3,3,3,6,3,3,1,1,3,2,4,9,1,2,1,2,2,6,2,"anger",0,1
"6",234,0,1,NA,NA,1,NA,58,0,1,0,0,0,0,0,0,0,57,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4,2,2,2,3,2,3,1,6,1,1,2,2,4,4,3,5,1,1,2,1,-99,6,2,"anger",0,1
"7",150,0,1,NA,NA,NA,1,29,0,0,0,0,1,0,0,0,0,57,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,3,3,3,3,3,3,2,1,3,3,1,6,2,4,9,1,3,3,2,4,8,3,"anger",0,1
"8",151,0,1,NA,NA,1,NA,25,0,1,0,0,1,0,0,0,0,58,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,4,4,4,3,3,3,3,6,3,3,1,1,4,7,7,9,1,2,1,1,2,7,2,"anger",0,1
"9",369,0,1,NA,NA,1,NA,27,0,0,1,1,0,1,0,0,0,60,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,3,3,4,1,3,2,3,3,4,3,3,2,1,6,6,6,9,4,3,1,1,2,8,2,"anger",0,1
"10",121,1,1,NA,NA,NA,1,27,0,0,0,0,0,1,0,0,0,60,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,-99,-99,-99,-99,-99,-99,0,1,1,0,0,0,2,2,4,2,3,2,3,-99,-99,1,3,2,2,6,1,6,7,6,3,2,2,3,8,2,"anger",0,1
"11",297,1,1,NA,NA,NA,1,27,0,0,0,0,0,1,0,0,0,60,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,-99,-99,-99,-99,-99,-99,0,1,1,0,0,0,2,2,4,2,3,2,3,-99,-99,1,3,2,2,6,1,6,7,6,3,2,2,3,8,2,"anger",0,1
